U,V,XU,YU,XV,YV,T
92104,81566,3025,2829,2972,2818,5
92104,92423,3025,2829,3055,2853,5
92104,92153,3025,2829,3055,2790,5
92153,92105,3055,2790,3052,2776,6
92423,92431,3055,2853,3070,2861,6
81566,81554,2972,2818,2970,2804,6
81566,81559,2972,2818,2952,2822,6
92431,92488,3070,2861,3095,2860,7
81559,81513,2952,2822,2926,2821,7
92105,92068,3052,2776,3050,2756,7
92153,92143,3055,2790,3074,2788,8
81513,81490,2926,2821,2907,2814,8
92068,91991,3050,2756,3048,2751,8
92488,92482,3095,2860,3119,2859,8
92143,92146,3074,2788,3077,2786,9
92431,92445,3070,2861,3079,2881,9
91991,92032,3048,2751,3051,2713,9
92510,92527,3145,2859,3149,2859,9
92482,92510,3119,2859,3145,2859,9
81490,81321,2907,2814,2885,2817,9
92146,92161,3077,2786,3086,2783,10
81321,81307,2885,2817,2853,2818,10
92527,92526,3149,2859,3158,2864,10
92032,91944,3051,2713,3048,2688,10
92445,92467,3079,2881,3080,2884,10
92526,92692,3158,2864,3185,2891,11
81307,81394,2853,2818,2834,2833,11
91944,91992,3048,2688,3047,2664,11
92161,92109,3086,2783,3104,2781,11
81554,81548,2970,2804,2970,2800,11
92467,92521,3080,2884,3090,2911,11
92109,92139,3104,2781,3125,2779,12
81394,81334,2834,2833,2813,2845,12
81548,81545,2970,2800,2967,2790,12
91992,90649,3047,2664,3024,2653,12
92692,92706,3185,2891,3194,2913,12
92521,92606,3090,2911,3091,2931,12
92606,92623,3091,2931,3100,2949,13
90649,90605,3024,2653,3010,2634,13
92139,92166,3125,2779,3137,2790,13
81334,80561,2813,2845,2783,2852,13
81545,81543,2967,2790,2965,2779,13
92706,92784,3194,2913,3204,2932,13
92784,92787,3204,2932,3189,2936,13
92166,92299,3137,2790,3160,2788,14
80561,80581,2783,2852,2758,2865,14
81543,81526,2965,2779,2960,2764,14
92623,92655,3100,2949,3102,2965,14
92784,92811,3204,2932,3217,2960,14
90605,90591,3010,2634,3006,2606,14
92299,92213,3160,2788,3192,2786,15
80581,80560,2758,2865,2753,2859,15
90591,90575,3006,2606,2988,2583,15
92819,102417,3215,2975,3212,2990,15
92811,92819,3217,2960,3215,2975,15
92819,92832,3215,2975,3241,2973,15
91991,91970,3048,2751,3018,2752,15
92655,102363,3102,2965,3122,2986,15
80581,80584,2758,2865,2739,2881,15
81526,81572,2960,2764,2949,2743,15
80560,80557,2753,2859,2747,2855,16
92213,92324,3192,2786,3220,2790,16
102363,102377,3122,2986,3138,3008,16
81700,81453,2935,2722,2931,2721,16
90575,81065,2988,2583,2976,2564,16
81572,81700,2949,2743,2935,2722,16
80584,80438,2739,2881,2708,2902,16
102417,102431,3212,2990,3210,3012,16
102431,103180,3210,3012,3223,3061,17
80557,80509,2747,2855,2728,2852,17
92324,92271,3220,2790,3251,2779,17
91970,91961,3018,2752,3008,2750,17
80438,80417,2708,2902,2687,2913,17
81065,81021,2976,2564,2956,2533,17
81453,81108,2931,2721,2905,2708,17
102377,102403,3138,3008,3152,3030,17
102403,102441,3152,3030,3160,3043,17
92271,92275,3251,2779,3263,2776,18
81108,81103,2905,2708,2894,2708,18
91961,92052,3008,2750,2995,2751,18
80417,80380,2687,2913,2654,2930,18
80438,80401,2708,2902,2702,2885,18
81103,80933,2894,2708,2876,2695,18
92275,92376,3263,2776,3283,2786,18
102441,102521,3160,3043,3175,3068,18
103180,103203,3223,3061,3231,3073,18
103203,103212,3231,3073,3235,3092,18
81021,80991,2956,2533,2932,2492,18
92526,92676,3158,2864,3175,2854,18
80509,80323,2728,2852,2714,2834,18
80380,80358,2654,2930,2626,2942,19
80933,80919,2876,2695,2859,2676,19
102541,102557,3180,3081,3193,3096,19
92787,92789,3189,2936,3187,2938,19
80401,80390,2702,2885,2684,2879,19
92676,92336,3175,2854,3188,2845,19
92832,92869,3241,2973,3250,2969,19
92869,92867,3250,2969,3254,2962,19
103212,103555,3235,3092,3238,3100,19
93060,93405,3294,2798,3318,2808,19
92376,93060,3283,2786,3294,2798,19
80991,80986,2932,2492,2923,2480,19
80323,80308,2714,2834,2699,2814,19
92052,81699,2995,2751,2978,2746,19
103555,103561,3238,3100,3244,3118,19
102521,102541,3175,3068,3180,3081,19
103561,103603,3244,3118,3262,3158,20
80358,77642,2626,2942,2619,2956,20
92336,92339,3188,2845,3195,2842,20
103555,103272,3238,3100,3265,3092,20
103272,103267,3265,3092,3270,3093,20
80986,80966,2923,2480,2915,2468,20
80390,80344,2684,2879,2667,2857,20
80919,80874,2859,2676,2834,2659,20
80358,77583,2626,2942,2599,2941,20
81699,81532,2978,2746,2971,2732,20
80874,80866,2834,2659,2816,2660,20
93405,93421,3318,2808,3342,2830,20
80966,80955,2915,2468,2900,2456,20
102557,102577,3193,3096,3208,3128,20
80308,80253,2699,2814,2675,2785,20
92339,92353,3195,2842,3211,2834,21
81532,81204,2971,2732,2966,2721,21
80866,80854,2816,2660,2796,2663,21
93060,92387,3294,2798,3274,2815,21
103603,103651,3262,3158,3274,3184,21
80257,80221,2669,2776,2657,2750,21
103267,103270,3270,3093,3285,3097,21
77642,77628,2619,2956,2613,2971,21
80955,80781,2900,2456,2879,2441,21
93421,93434,3342,2830,3364,2848,21
80854,80183,2796,2663,2777,2664,21
92387,92404,3274,2815,3277,2822,21
77583,77317,2599,2941,2541,2945,21
80344,80236,2667,2857,2642,2845,21
80253,80257,2675,2785,2669,2776,21
102577,102884,3208,3128,3217,3156,21
92387,92386,3274,2815,3258,2822,22
103692,103702,3281,3193,3284,3214,22
92353,92395,3211,2834,3224,2834,22
80221,80210,2657,2750,2641,2727,22
77628,98311,2613,2971,2607,2995,22
103651,103692,3274,3184,3281,3193,22
80781,79411,2879,2441,2850,2425,22
93434,93452,3364,2848,3392,2870,22
92404,92412,3277,2822,3276,2833,22
